Age;Status;Studies;YearsOfExperience;impression;Format;TermsPerAnd;AnswerPosition;number_of_given_answers;expected_answer;given_answer;is_correct;time_in_milliseconds
undefined;undefined;undefined;undefined;undefined;OneLine;2;2;1;2;1;false;3062
undefined;undefined;undefined;undefined;undefined;OneLine;3;1;1;1;1;true;1084
undefined;undefined;undefined;undefined;undefined;OneLine;3;1;1;1;1;true;731
undefined;undefined;undefined;undefined;undefined;OneLine;3;5;1;5;1;false;2301
undefined;undefined;undefined;undefined;undefined;OneLine;1;1;1;1;1;true;917
undefined;undefined;undefined;undefined;undefined;MultiLine;1;4;1;4;1;false;805
undefined;undefined;undefined;undefined;undefined;MultiLine;2;5;1;5;1;false;2075
undefined;undefined;undefined;undefined;undefined;MultiLine;1;1;1;1;1;true;726
undefined;undefined;undefined;undefined;undefined;MultiLine;2;1;1;1;1;true;735
undefined;undefined;undefined;undefined;undefined;MultiLine;3;5;1;5;1;false;2008
undefined;undefined;undefined;undefined;undefined;MultiLine;1;3;1;3;1;false;1231
undefined;undefined;undefined;undefined;undefined;MultiLine;3;2;1;2;1;false;2265
undefined;undefined;undefined;undefined;undefined;MultiLine;3;4;1;4;1;false;1223
undefined;undefined;undefined;undefined;undefined;MultiLine;2;3;1;3;1;false;1211
undefined;undefined;undefined;undefined;undefined;OneLine;2;3;1;3;1;false;1225
undefined;undefined;undefined;undefined;undefined;MultiLine;3;2;1;2;1;false;1587
undefined;undefined;undefined;undefined;undefined;OneLine;1;5;1;5;1;false;826
undefined;undefined;undefined;undefined;undefined;OneLine;3;3;1;3;1;false;1554
undefined;undefined;undefined;undefined;undefined;OneLine;2;5;1;5;1;false;2245
undefined;undefined;undefined;undefined;undefined;OneLine;1;3;1;3;1;false;1266
undefined;undefined;undefined;undefined;undefined;MultiLine;2;4;1;4;1;false;1281
undefined;undefined;undefined;undefined;undefined;OneLine;3;2;1;2;1;false;1386
undefined;undefined;undefined;undefined;undefined;OneLine;2;2;1;2;1;false;829
undefined;undefined;undefined;undefined;undefined;MultiLine;3;3;1;3;1;false;1550
undefined;undefined;undefined;undefined;undefined;OneLine;2;3;1;3;1;false;1061
undefined;undefined;undefined;undefined;undefined;OneLine;3;2;1;2;1;false;1116
undefined;undefined;undefined;undefined;undefined;OneLine;2;1;1;1;1;true;926
undefined;undefined;undefined;undefined;undefined;MultiLine;1;3;1;3;1;false;763
undefined;undefined;undefined;undefined;undefined;MultiLine;3;1;1;1;1;true;918
undefined;undefined;undefined;undefined;undefined;MultiLine;1;5;1;5;1;false;1453
undefined;undefined;undefined;undefined;undefined;MultiLine;1;2;1;2;1;false;1043
undefined;undefined;undefined;undefined;undefined;MultiLine;2;2;1;2;1;false;2596
undefined;undefined;undefined;undefined;undefined;OneLine;3;5;1;5;1;false;3838
undefined;undefined;undefined;undefined;undefined;OneLine;3;4;1;4;1;false;2477
undefined;undefined;undefined;undefined;undefined;OneLine;3;3;1;3;1;false;3673
undefined;undefined;undefined;undefined;undefined;MultiLine;1;5;1;5;1;false;980
undefined;undefined;undefined;undefined;undefined;MultiLine;2;3;1;3;1;false;1644
undefined;undefined;undefined;undefined;undefined;OneLine;2;4;1;4;1;false;1621
undefined;undefined;undefined;undefined;undefined;MultiLine;3;1;1;1;1;true;909
undefined;undefined;undefined;undefined;undefined;OneLine;1;2;1;2;1;false;752
undefined;undefined;undefined;undefined;undefined;OneLine;1;2;1;2;1;false;600
undefined;undefined;undefined;undefined;undefined;OneLine;3;3;1;3;1;false;2053
undefined;undefined;undefined;undefined;undefined;OneLine;3;4;1;4;1;false;2320
undefined;undefined;undefined;undefined;undefined;OneLine;2;4;1;4;1;false;1823
undefined;undefined;undefined;undefined;undefined;MultiLine;3;1;1;1;1;true;3051
undefined;undefined;undefined;undefined;undefined;MultiLine;2;4;1;4;1;false;1613
undefined;undefined;undefined;undefined;undefined;OneLine;2;5;1;5;1;false;1851
undefined;undefined;undefined;undefined;undefined;MultiLine;3;2;1;2;1;false;1548
undefined;undefined;undefined;undefined;undefined;MultiLine;2;5;1;5;1;false;2529
undefined;undefined;undefined;undefined;undefined;MultiLine;3;5;1;5;1;false;1700
undefined;undefined;undefined;undefined;undefined;MultiLine;1;5;1;5;1;false;1054
undefined;undefined;undefined;undefined;undefined;MultiLine;2;5;1;5;1;false;1876
undefined;undefined;undefined;undefined;undefined;OneLine;3;4;1;4;1;false;2483
undefined;undefined;undefined;undefined;undefined;OneLine;1;5;1;5;1;false;782
undefined;undefined;undefined;undefined;undefined;MultiLine;3;4;1;4;1;false;2270
undefined;undefined;undefined;undefined;undefined;OneLine;3;1;1;1;1;true;952
undefined;undefined;undefined;undefined;undefined;MultiLine;2;4;1;4;1;false;2401
undefined;undefined;undefined;undefined;undefined;OneLine;1;4;1;4;1;false;937
undefined;undefined;undefined;undefined;undefined;MultiLine;3;5;1;5;1;false;2606
undefined;undefined;undefined;undefined;undefined;OneLine;1;2;1;2;1;false;926
undefined;undefined;undefined;undefined;undefined;OneLine;2;2;1;2;1;false;1025
undefined;undefined;undefined;undefined;undefined;OneLine;2;1;1;1;1;true;771
undefined;undefined;undefined;undefined;undefined;OneLine;3;2;1;2;1;false;1400
undefined;undefined;undefined;undefined;undefined;MultiLine;3;1;1;1;1;true;1038
undefined;undefined;undefined;undefined;undefined;MultiLine;1;4;1;4;1;false;1034
undefined;undefined;undefined;undefined;undefined;OneLine;3;1;1;1;1;true;883
undefined;undefined;undefined;undefined;undefined;MultiLine;2;1;1;1;1;true;716
undefined;undefined;undefined;undefined;undefined;OneLine;1;3;1;3;1;false;1432
undefined;undefined;undefined;undefined;undefined;OneLine;2;5;1;5;1;false;1766
undefined;undefined;undefined;undefined;undefined;MultiLine;1;3;1;3;1;false;1018
undefined;undefined;undefined;undefined;undefined;OneLine;2;4;1;4;1;false;2217
undefined;undefined;undefined;undefined;undefined;MultiLine;1;1;1;1;1;true;649
undefined;undefined;undefined;undefined;undefined;MultiLine;2;1;1;1;1;true;749
undefined;undefined;undefined;undefined;undefined;OneLine;3;2;1;2;1;false;1509
undefined;undefined;undefined;undefined;undefined;OneLine;2;1;1;1;1;true;675
undefined;undefined;undefined;undefined;undefined;MultiLine;3;4;1;4;1;false;1404
undefined;undefined;undefined;undefined;undefined;MultiLine;3;2;1;2;1;false;1629
undefined;undefined;undefined;undefined;undefined;MultiLine;2;1;1;1;1;true;736
undefined;undefined;undefined;undefined;undefined;OneLine;3;5;1;5;1;false;2675
undefined;undefined;undefined;undefined;undefined;MultiLine;1;1;1;1;1;true;616
undefined;undefined;undefined;undefined;undefined;MultiLine;2;2;1;2;1;false;2169
undefined;undefined;undefined;undefined;undefined;OneLine;3;4;1;4;1;false;2425
undefined;undefined;undefined;undefined;undefined;MultiLine;2;4;1;4;1;false;1075
undefined;undefined;undefined;undefined;undefined;OneLine;2;4;1;4;1;false;2280
undefined;undefined;undefined;undefined;undefined;OneLine;1;1;1;1;1;true;736
undefined;undefined;undefined;undefined;undefined;OneLine;1;5;1;5;1;false;1180
undefined;undefined;undefined;undefined;undefined;MultiLine;3;5;1;5;1;false;1997
undefined;undefined;undefined;undefined;undefined;OneLine;2;1;1;1;1;true;1473
undefined;undefined;undefined;undefined;undefined;OneLine;2;3;1;3;1;false;1304
undefined;undefined;undefined;undefined;undefined;MultiLine;1;2;1;2;1;false;1299
undefined;undefined;undefined;undefined;undefined;MultiLine;2;5;1;5;1;false;1430
undefined;undefined;undefined;undefined;undefined;OneLine;3;5;1;5;1;false;2768
undefined;undefined;undefined;undefined;undefined;OneLine;1;2;1;2;1;false;883
undefined;undefined;undefined;undefined;undefined;OneLine;1;4;1;4;1;false;853
undefined;undefined;undefined;undefined;undefined;MultiLine;3;2;1;2;1;false;1973
undefined;undefined;undefined;undefined;undefined;OneLine;2;2;1;2;1;false;1034
undefined;undefined;undefined;undefined;undefined;OneLine;1;1;1;1;1;true;1215
