Pos;technique;readLineIndent;diff;diff_ad_hoc;correct;answer;isCorrect;time;ParticipantNr;KindParticipant;ParticipantID;years_experience;exp_Quantil
67;non_indented;6;2;5;5;5;1;7144;1;PhDStudent;ps1;5;3
68;indented;8;0;2;3;1;0;7361;1;PhDStudent;ps1;5;3
69;non_indented;8;4;7;3;3;1;11331;1;PhDStudent;ps1;5;3
70;indented;4;0;0;9;9;1;2653;1;PhDStudent;ps1;5;3
71;non_indented;4;4;5;2;2;1;14697;1;PhDStudent;ps1;5;3
72;indented;8;2;5;4;4;1;5010;1;PhDStudent;ps1;5;3
73;non_indented;8;2;6;4;4;1;11474;1;PhDStudent;ps1;5;3
74;indented;8;0;3;9;9;1;6423;1;PhDStudent;ps1;5;3
75;non_indented;6;0;1;7;7;1;6284;1;PhDStudent;ps1;5;3
76;indented;8;4;9;8;8;1;4886;1;PhDStudent;ps1;5;3
77;indented;4;2;4;7;7;1;3995;1;PhDStudent;ps1;5;3
78;non_indented;4;2;4;8;8;1;5825;1;PhDStudent;ps1;5;3
79;non_indented;4;4;5;5;6;0;5596;1;PhDStudent;ps1;5;3
80;indented;4;0;0;6;6;1;2305;1;PhDStudent;ps1;5;3
81;non_indented;6;0;2;5;5;1;6727;1;PhDStudent;ps1;5;3
82;indented;6;2;4;3;3;1;4311;1;PhDStudent;ps1;5;3
83;indented;8;0;2;7;7;1;4289;1;PhDStudent;ps1;5;3
84;non_indented;4;0;1;9;9;1;3835;1;PhDStudent;ps1;5;3
85;non_indented;6;2;5;1;1;1;7339;1;PhDStudent;ps1;5;3
86;indented;6;2;5;5;5;1;4336;1;PhDStudent;ps1;5;3
87;non_indented;4;4;5;2;9;0;4536;1;PhDStudent;ps1;5;3
88;non_indented;6;4;6;9;3;0;12181;1;PhDStudent;ps1;5;3
89;indented;8;2;6;8;8;1;7060;1;PhDStudent;ps1;5;3
90;indented;4;4;5;9;9;1;4557;1;PhDStudent;ps1;5;3
1;non_indented;6;0;2;9;9;1;3113;2;Student;s8;2;2
2;non_indented;4;2;4;4;4;1;3057;2;Student;s8;2;2
3;indented;4;0;0;7;7;1;1590;2;Student;s8;2;2
4;non_indented;6;4;6;3;3;1;2582;2;Student;s8;2;2
5;non_indented;6;2;5;9;3;0;30855;2;Student;s8;2;2
6;non_indented;4;0;1;5;5;1;6616;2;Student;s8;2;2
7;non_indented;4;0;0;6;6;1;2453;2;Student;s8;2;2
8;non_indented;4;2;4;2;2;1;16600;2;Student;s8;2;2
9;non_indented;4;4;5;8;8;1;9075;2;Student;s8;2;2
10;non_indented;6;4;6;6;6;1;14827;2;Student;s8;2;2
11;non_indented;8;2;6;6;6;1;22133;2;Student;s8;2;2
12;indented;4;2;4;3;3;1;3588;2;Student;s8;2;2
13;indented;6;0;1;5;8;0;3740;2;Student;s8;2;2
14;non_indented;8;4;6;4;4;1;9216;2;Student;s8;2;2
15;non_indented;8;0;3;6;6;1;12928;2;Student;s8;2;2
16;indented;6;2;4;4;4;1;4711;2;Student;s8;2;2
17;indented;6;0;1;2;4;0;5953;2;Student;s8;2;2
18;indented;4;4;5;6;6;1;5476;2;Student;s8;2;2
19;non_indented;8;0;2;6;6;1;7265;2;Student;s8;2;2
20;indented;4;2;4;1;1;1;8967;2;Student;s8;2;2
21;indented;8;4;7;3;3;1;9685;2;Student;s8;2;2
22;indented;6;4;6;4;4;1;6451;2;Student;s8;2;2
23;indented;4;2;4;1;1;1;2438;2;Student;s8;2;2
24;non_indented;4;4;5;3;1;0;6960;2;Student;s8;2;2
25;indented;6;4;6;6;6;1;5046;2;Student;s8;2;2
26;non_indented;8;0;3;7;7;1;7987;2;Student;s8;2;2
27;non_indented;6;4;6;9;9;1;22268;2;Student;s8;2;2
28;indented;6;2;5;4;4;1;10429;2;Student;s8;2;2
29;non_indented;6;4;5;9;9;1;12371;2;Student;s8;2;2
30;indented;6;0;2;8;8;1;5666;2;Student;s8;2;2
31;non_indented;8;2;5;7;7;1;8335;2;Student;s8;2;2
32;non_indented;4;0;1;7;7;1;12233;2;Student;s8;2;2
33;indented;8;2;6;7;7;1;5355;2;Student;s8;2;2
34;non_indented;4;2;4;9;9;1;6092;2;Student;s8;2;2
35;indented;4;0;0;2;2;1;2869;2;Student;s8;2;2
36;non_indented;6;0;1;2;2;1;5599;2;Student;s8;2;2
37;non_indented;6;2;5;9;9;1;11787;2;Student;s8;2;2
38;non_indented;8;4;9;8;8;1;18294;2;Student;s8;2;2
39;indented;8;2;6;1;1;1;6664;2;Student;s8;2;2
40;non_indented;6;2;4;3;3;1;6489;2;Student;s8;2;2
41;indented;8;0;2;5;5;1;5193;2;Student;s8;2;2
42;indented;8;2;5;9;9;1;10190;2;Student;s8;2;2
43;non_indented;8;4;7;2;2;1;16656;2;Student;s8;2;2
44;indented;8;4;7;7;7;1;8211;2;Student;s8;2;2
45;non_indented;8;2;6;8;8;1;12574;2;Student;s8;2;2
46;non_indented;8;0;2;1;1;1;9914;2;Student;s8;2;2
47;indented;4;4;5;3;3;1;4159;2;Student;s8;2;2
48;indented;6;4;5;4;4;1;3245;2;Student;s8;2;2
49;indented;8;0;1;9;9;1;5009;2;Student;s8;2;2
50;indented;6;0;2;2;2;1;6292;2;Student;s8;2;2
51;non_indented;4;0;1;6;6;1;18351;2;Student;s8;2;2
52;non_indented;6;0;2;4;4;1;9566;2;Student;s8;2;2
53;indented;4;0;0;2;2;1;2389;2;Student;s8;2;2
54;indented;8;4;9;5;5;1;8256;2;Student;s8;2;2
55;non_indented;4;2;4;6;6;1;8325;2;Student;s8;2;2
56;indented;8;4;7;9;9;1;5395;2;Student;s8;2;2
57;indented;4;4;5;8;8;1;3858;2;Student;s8;2;2
58;non_indented;8;0;2;6;6;1;5185;2;Student;s8;2;2
59;indented;6;4;6;3;3;1;3443;2;Student;s8;2;2
60;indented;6;4;6;8;8;1;3909;2;Student;s8;2;2
61;non_indented;8;4;6;3;2;0;5750;2;Student;s8;2;2
62;indented;4;2;4;9;9;1;4758;2;Student;s8;2;2
63;indented;6;2;4;1;1;1;3712;2;Student;s8;2;2
64;indented;4;4;5;3;3;1;3134;2;Student;s8;2;2
65;non_indented;8;2;5;7;7;1;13834;2;Student;s8;2;2
66;indented;6;0;1;6;6;1;3941;2;Student;s8;2;2
67;non_indented;6;2;5;5;5;1;7328;2;Student;s8;2;2
68;indented;8;0;2;3;3;1;4189;2;Student;s8;2;2
69;non_indented;8;4;7;3;3;1;10785;2;Student;s8;2;2
70;indented;4;0;0;9;9;1;4925;2;Student;s8;2;2
71;non_indented;4;4;5;2;2;1;8423;2;Student;s8;2;2
72;indented;8;2;5;4;4;1;8361;2;Student;s8;2;2
73;non_indented;8;2;6;4;4;1;8637;2;Student;s8;2;2
74;indented;8;0;3;9;9;1;5390;2;Student;s8;2;2
75;non_indented;6;0;1;7;7;1;6860;2;Student;s8;2;2
76;indented;8;4;9;8;8;1;4441;2;Student;s8;2;2
77;indented;4;2;4;7;7;1;4389;2;Student;s8;2;2
78;non_indented;4;2;4;8;8;1;14464;2;Student;s8;2;2
79;non_indented;4;4;5;5;6;0;9286;2;Student;s8;2;2
80;indented;4;0;0;6;6;1;2736;2;Student;s8;2;2
81;non_indented;6;0;2;5;5;1;7098;2;Student;s8;2;2
82;indented;6;2;4;3;3;1;4104;2;Student;s8;2;2
83;indented;8;0;2;7;7;1;4956;2;Student;s8;2;2
84;non_indented;4;0;1;9;9;1;7137;2;Student;s8;2;2
85;non_indented;6;2;5;1;1;1;5017;2;Student;s8;2;2
86;indented;6;2;5;5;5;1;4523;2;Student;s8;2;2
87;non_indented;4;4;5;2;2;1;11147;2;Student;s8;2;2
88;non_indented;6;4;6;9;3;0;12907;2;Student;s8;2;2
89;indented;8;2;6;8;8;1;11146;2;Student;s8;2;2
90;indented;4;4;5;9;9;1;4433;2;Student;s8;2;2
1;non_indented;6;0;2;9;9;1;3764;3;Student;s7;1;2
2;non_indented;4;2;4;4;4;1;5419;3;Student;s7;1;2
3;indented;4;0;0;7;7;1;2339;3;Student;s7;1;2
4;non_indented;6;4;6;3;4;0;3986;3;Student;s7;1;2
5;non_indented;6;2;5;9;1;0;6882;3;Student;s7;1;2
6;non_indented;4;0;1;5;5;1;5640;3;Student;s7;1;2
7;non_indented;4;0;0;6;6;1;2126;3;Student;s7;1;2
8;non_indented;4;2;4;2;2;1;8555;3;Student;s7;1;2
9;non_indented;4;4;5;8;8;1;10672;3;Student;s7;1;2
10;non_indented;6;4;6;6;6;1;10901;3;Student;s7;1;2
11;non_indented;8;2;6;6;6;1;11324;3;Student;s7;1;2
12;indented;4;2;4;3;3;1;3268;3;Student;s7;1;2
13;indented;6;0;1;5;5;1;3155;3;Student;s7;1;2
14;non_indented;8;4;6;4;1;0;15605;3;Student;s7;1;2
15;non_indented;8;0;3;6;6;1;10547;3;Student;s7;1;2
16;indented;6;2;4;4;4;1;3158;3;Student;s7;1;2
17;indented;6;0;1;2;2;1;2181;3;Student;s7;1;2
18;indented;4;4;5;6;6;1;7206;3;Student;s7;1;2
19;non_indented;8;0;2;6;6;1;6215;3;Student;s7;1;2
20;indented;4;2;4;1;1;1;2035;3;Student;s7;1;2
21;indented;8;4;7;3;8;0;10464;3;Student;s7;1;2
22;indented;6;4;6;4;4;1;3371;3;Student;s7;1;2
23;indented;4;2;4;1;1;1;1975;3;Student;s7;1;2
24;non_indented;4;4;5;3;3;1;17678;3;Student;s7;1;2
25;indented;6;4;6;6;6;1;3460;3;Student;s7;1;2
26;non_indented;8;0;3;7;7;1;5821;3;Student;s7;1;2
27;non_indented;6;4;6;9;4;0;6781;3;Student;s7;1;2
28;indented;6;2;5;4;4;1;5738;3;Student;s7;1;2
29;non_indented;6;4;5;9;9;1;5715;3;Student;s7;1;2
30;indented;6;0;2;8;8;1;4078;3;Student;s7;1;2
31;non_indented;8;2;5;7;7;1;9294;3;Student;s7;1;2
32;non_indented;4;0;1;7;7;1;5439;3;Student;s7;1;2
33;indented;8;2;6;7;7;1;8607;3;Student;s7;1;2
34;non_indented;4;2;4;9;9;1;5921;3;Student;s7;1;2
35;indented;4;0;0;2;2;1;1781;3;Student;s7;1;2
36;non_indented;6;0;1;2;2;1;6605;3;Student;s7;1;2
37;non_indented;6;2;5;9;3;0;3588;3;Student;s7;1;2
38;non_indented;8;4;9;8;8;1;10000;3;Student;s7;1;2
39;indented;8;2;6;1;1;1;3590;3;Student;s7;1;2
40;non_indented;6;2;4;3;3;1;5980;3;Student;s7;1;2
41;indented;8;0;2;5;5;1;4159;3;Student;s7;1;2
42;indented;8;2;5;9;9;1;4227;3;Student;s7;1;2
43;non_indented;8;4;7;2;5;0;8667;3;Student;s7;1;2
44;indented;8;4;7;7;7;1;17100;3;Student;s7;1;2
45;non_indented;8;2;6;8;8;1;15260;3;Student;s7;1;2
46;non_indented;8;0;2;1;3;0;3456;3;Student;s7;1;2
47;indented;4;4;5;3;3;1;4103;3;Student;s7;1;2
48;indented;6;4;5;4;4;1;2579;3;Student;s7;1;2
49;indented;8;0;1;9;9;1;3849;3;Student;s7;1;2
50;indented;6;0;2;2;2;1;5239;3;Student;s7;1;2
51;non_indented;4;0;1;6;8;0;9949;3;Student;s7;1;2
52;non_indented;6;0;2;4;4;1;3136;3;Student;s7;1;2
53;indented;4;0;0;2;2;1;1453;3;Student;s7;1;2
54;indented;8;4;9;5;5;1;4294;3;Student;s7;1;2
55;non_indented;4;2;4;6;6;1;6030;3;Student;s7;1;2
56;indented;8;4;7;9;9;1;10043;3;Student;s7;1;2
57;indented;4;4;5;8;8;1;2829;3;Student;s7;1;2
58;non_indented;8;0;2;6;6;1;6379;3;Student;s7;1;2
59;indented;6;4;6;3;3;1;3023;3;Student;s7;1;2
60;indented;6;4;6;8;8;1;5387;3;Student;s7;1;2
61;non_indented;8;4;6;3;2;0;7063;3;Student;s7;1;2
62;indented;4;2;4;9;9;1;2988;3;Student;s7;1;2
63;indented;6;2;4;1;1;1;1747;3;Student;s7;1;2
64;indented;4;4;5;3;3;1;1952;3;Student;s7;1;2
65;non_indented;8;2;5;7;7;1;8486;3;Student;s7;1;2
66;indented;6;0;1;6;6;1;2522;3;Student;s7;1;2
67;non_indented;6;2;5;5;5;1;8171;3;Student;s7;1;2
68;indented;8;0;2;3;3;1;6045;3;Student;s7;1;2
69;non_indented;8;4;7;3;3;1;20920;3;Student;s7;1;2
70;indented;4;0;0;9;9;1;2854;3;Student;s7;1;2
71;non_indented;4;4;5;2;2;1;5486;3;Student;s7;1;2
72;indented;8;2;5;4;3;0;2636;3;Student;s7;1;2
73;non_indented;8;2;6;4;5;0;7666;3;Student;s7;1;2
74;indented;8;0;3;9;9;1;10351;3;Student;s7;1;2
75;non_indented;6;0;1;7;7;1;3776;3;Student;s7;1;2
76;indented;8;4;9;8;8;1;4957;3;Student;s7;1;2
77;indented;4;2;4;7;7;1;2698;3;Student;s7;1;2
78;non_indented;4;2;4;8;1;0;6304;3;Student;s7;1;2
79;non_indented;4;4;5;5;6;0;15967;3;Student;s7;1;2
80;indented;4;0;0;6;6;1;1900;3;Student;s7;1;2
81;non_indented;6;0;2;5;5;1;4569;3;Student;s7;1;2
82;indented;6;2;4;3;3;1;2031;3;Student;s7;1;2
83;indented;8;0;2;7;7;1;3688;3;Student;s7;1;2
84;non_indented;4;0;1;9;9;1;4526;3;Student;s7;1;2
85;non_indented;6;2;5;1;1;1;3226;3;Student;s7;1;2
86;indented;6;2;5;5;5;1;4592;3;Student;s7;1;2
87;non_indented;4;4;5;2;1;0;4953;3;Student;s7;1;2
88;non_indented;6;4;6;9;9;1;18133;3;Student;s7;1;2
89;indented;8;2;6;8;8;1;3637;3;Student;s7;1;2
90;indented;4;4;5;9;9;1;3544;3;Student;s7;1;2
1;non_indented;6;0;2;9;9;1;10677;4;PhDStudent;ps2;1;2
2;non_indented;4;2;4;4;4;1;10030;4;PhDStudent;ps2;1;2
3;indented;4;0;0;7;7;1;2135;4;PhDStudent;ps2;1;2
4;non_indented;6;4;6;3;3;1;21460;4;PhDStudent;ps2;1;2
5;non_indented;6;2;5;9;9;1;9127;4;PhDStudent;ps2;1;2
6;non_indented;4;0;1;5;5;1;4565;4;PhDStudent;ps2;1;2
7;non_indented;4;0;0;6;6;1;1670;4;PhDStudent;ps2;1;2
8;non_indented;4;2;4;2;2;1;7064;4;PhDStudent;ps2;1;2
9;non_indented;4;4;5;8;8;1;10605;4;PhDStudent;ps2;1;2
10;non_indented;6;4;6;6;6;1;14765;4;PhDStudent;ps2;1;2
11;non_indented;8;2;6;6;6;1;21338;4;PhDStudent;ps2;1;2
12;indented;4;2;4;3;3;1;3894;4;PhDStudent;ps2;1;2
13;indented;6;0;1;5;5;1;5035;4;PhDStudent;ps2;1;2
14;non_indented;8;4;6;4;4;1;14031;4;PhDStudent;ps2;1;2
15;non_indented;8;0;3;6;6;1;11031;4;PhDStudent;ps2;1;2
16;indented;6;2;4;4;4;1;6208;4;PhDStudent;ps2;1;2
17;indented;6;0;1;2;2;1;10130;4;PhDStudent;ps2;1;2
18;indented;4;4;5;6;6;1;7035;4;PhDStudent;ps2;1;2
19;non_indented;8;0;2;6;6;1;17667;4;PhDStudent;ps2;1;2
20;indented;4;2;4;1;1;1;3872;4;PhDStudent;ps2;1;2
21;indented;8;4;7;3;3;1;10291;4;PhDStudent;ps2;1;2
22;indented;6;4;6;4;4;1;5153;4;PhDStudent;ps2;1;2
23;indented;4;2;4;1;1;1;3822;4;PhDStudent;ps2;1;2
24;non_indented;4;4;5;3;3;1;9088;4;PhDStudent;ps2;1;2
25;indented;6;4;6;6;6;1;11191;4;PhDStudent;ps2;1;2
26;non_indented;8;0;3;7;7;1;14553;4;PhDStudent;ps2;1;2
27;non_indented;6;4;6;9;9;1;8825;4;PhDStudent;ps2;1;2
28;indented;6;2;5;4;4;1;15813;4;PhDStudent;ps2;1;2
29;non_indented;6;4;5;9;9;1;13853;4;PhDStudent;ps2;1;2
30;indented;6;0;2;8;8;1;4101;4;PhDStudent;ps2;1;2
31;non_indented;8;2;5;7;7;1;7380;4;PhDStudent;ps2;1;2
32;non_indented;4;0;1;7;7;1;7610;4;PhDStudent;ps2;1;2
33;indented;8;2;6;7;7;1;11795;4;PhDStudent;ps2;1;2
34;non_indented;4;2;4;9;9;1;6933;4;PhDStudent;ps2;1;2
35;indented;4;0;0;2;2;1;3523;4;PhDStudent;ps2;1;2
36;non_indented;6;0;1;2;2;1;6838;4;PhDStudent;ps2;1;2
37;non_indented;6;2;5;9;9;1;12810;4;PhDStudent;ps2;1;2
38;non_indented;8;4;9;8;8;1;12297;4;PhDStudent;ps2;1;2
39;indented;8;2;6;1;1;1;7158;4;PhDStudent;ps2;1;2
40;non_indented;6;2;4;3;3;1;7435;4;PhDStudent;ps2;1;2
41;indented;8;0;2;5;5;1;5980;4;PhDStudent;ps2;1;2
42;indented;8;2;5;9;9;1;6920;4;PhDStudent;ps2;1;2
43;non_indented;8;4;7;2;2;1;12903;4;PhDStudent;ps2;1;2
44;indented;8;4;7;7;7;1;9188;4;PhDStudent;ps2;1;2
45;non_indented;8;2;6;8;8;1;12117;4;PhDStudent;ps2;1;2
46;non_indented;8;0;2;1;1;1;21485;4;PhDStudent;ps2;1;2
47;indented;4;4;5;3;3;1;4881;4;PhDStudent;ps2;1;2
48;indented;6;4;5;4;4;1;3702;4;PhDStudent;ps2;1;2
49;indented;8;0;1;9;9;1;5075;4;PhDStudent;ps2;1;2
50;indented;6;0;2;2;2;1;6023;4;PhDStudent;ps2;1;2
51;non_indented;4;0;1;6;6;1;16857;4;PhDStudent;ps2;1;2
52;non_indented;6;0;2;4;4;1;11013;4;PhDStudent;ps2;1;2
53;indented;4;0;0;2;2;1;1957;4;PhDStudent;ps2;1;2
54;indented;8;4;9;5;5;1;10146;4;PhDStudent;ps2;1;2
55;non_indented;4;2;4;6;5;0;8057;4;PhDStudent;ps2;1;2
56;indented;8;4;7;9;9;1;8352;4;PhDStudent;ps2;1;2
57;indented;4;4;5;8;8;1;3159;4;PhDStudent;ps2;1;2
58;non_indented;8;0;2;6;6;1;8140;4;PhDStudent;ps2;1;2
59;indented;6;4;6;3;3;1;8542;4;PhDStudent;ps2;1;2
60;indented;6;4;6;8;8;1;6266;4;PhDStudent;ps2;1;2
61;non_indented;8;4;6;3;3;1;14378;4;PhDStudent;ps2;1;2
62;indented;4;2;4;9;9;1;3839;4;PhDStudent;ps2;1;2
63;indented;6;2;4;1;1;1;4573;4;PhDStudent;ps2;1;2
64;indented;4;4;5;3;3;1;2538;4;PhDStudent;ps2;1;2
65;non_indented;8;2;5;7;7;1;6345;4;PhDStudent;ps2;1;2
66;indented;6;0;1;6;6;1;5552;4;PhDStudent;ps2;1;2
67;non_indented;6;2;5;5;5;1;8285;4;PhDStudent;ps2;1;2
68;indented;8;0;2;3;3;1;6207;4;PhDStudent;ps2;1;2
69;non_indented;8;4;7;3;3;1;23066;4;PhDStudent;ps2;1;2
70;indented;4;0;0;9;9;1;1813;4;PhDStudent;ps2;1;2
71;non_indented;4;4;5;2;2;1;12367;4;PhDStudent;ps2;1;2
72;indented;8;2;5;4;4;1;7338;4;PhDStudent;ps2;1;2
73;non_indented;8;2;6;4;4;1;13469;4;PhDStudent;ps2;1;2
74;indented;8;0;3;9;9;1;7374;4;PhDStudent;ps2;1;2
75;non_indented;6;0;1;7;7;1;9904;4;PhDStudent;ps2;1;2
76;indented;8;4;9;8;8;1;5441;4;PhDStudent;ps2;1;2
77;indented;4;2;4;7;7;1;5826;4;PhDStudent;ps2;1;2
78;non_indented;4;2;4;8;8;1;6472;4;PhDStudent;ps2;1;2
79;non_indented;4;4;5;5;5;1;12535;4;PhDStudent;ps2;1;2
80;indented;4;0;0;6;6;1;2192;4;PhDStudent;ps2;1;2
81;non_indented;6;0;2;5;5;1;5632;4;PhDStudent;ps2;1;2
82;indented;6;2;4;3;3;1;4345;4;PhDStudent;ps2;1;2
83;indented;8;0;2;7;7;1;5815;4;PhDStudent;ps2;1;2
84;non_indented;4;0;1;9;9;1;4695;4;PhDStudent;ps2;1;2
85;non_indented;6;2;5;1;1;1;5151;4;PhDStudent;ps2;1;2
86;indented;6;2;5;5;5;1;12378;4;PhDStudent;ps2;1;2
87;non_indented;4;4;5;2;2;1;7151;4;PhDStudent;ps2;1;2
88;non_indented;6;4;6;9;9;1;19487;4;PhDStudent;ps2;1;2
89;indented;8;2;6;8;8;1;7358;4;PhDStudent;ps2;1;2
90;indented;4;4;5;9;9;1;7503;4;PhDStudent;ps2;1;2
1;non_indented;6;0;2;9;9;1;11185;5;Student;s3;0;1
2;non_indented;4;2;4;4;8;0;6729;5;Student;s3;0;1
3;indented;4;0;0;7;7;1;3585;5;Student;s3;0;1
4;non_indented;6;4;6;3;3;1;13577;5;Student;s3;0;1
5;non_indented;6;2;5;9;9;1;9272;5;Student;s3;0;1
6;non_indented;4;0;1;5;5;1;5417;5;Student;s3;0;1
7;non_indented;4;0;0;6;6;1;1608;5;Student;s3;0;1
8;non_indented;4;2;4;2;8;0;12177;5;Student;s3;0;1
9;non_indented;4;4;5;8;8;1;50391;5;Student;s3;0;1
10;non_indented;6;4;6;6;6;1;17514;5;Student;s3;0;1
11;non_indented;8;2;6;6;8;0;14625;5;Student;s3;0;1
12;indented;4;2;4;3;3;1;4928;5;Student;s3;0;1
13;indented;6;0;1;5;5;1;3152;5;Student;s3;0;1
14;non_indented;8;4;6;4;5;0;18354;5;Student;s3;0;1
15;non_indented;8;0;3;6;6;1;8498;5;Student;s3;0;1
16;indented;6;2;4;4;4;1;5216;5;Student;s3;0;1
17;indented;6;0;1;2;2;1;3112;5;Student;s3;0;1
18;indented;4;4;5;6;6;1;3017;5;Student;s3;0;1
19;non_indented;8;0;2;6;6;1;10145;5;Student;s3;0;1
20;indented;4;2;4;1;1;1;3240;5;Student;s3;0;1
21;indented;8;4;7;3;3;1;7144;5;Student;s3;0;1
22;indented;6;4;6;4;4;1;5616;5;Student;s3;0;1
23;indented;4;2;4;1;1;1;2617;5;Student;s3;0;1
24;non_indented;4;4;5;3;3;1;24531;5;Student;s3;0;1
25;indented;6;4;6;6;6;1;3816;5;Student;s3;0;1
26;non_indented;8;0;3;7;4;0;26420;5;Student;s3;0;1
27;non_indented;6;4;6;9;9;1;12074;5;Student;s3;0;1
28;indented;6;2;5;4;4;1;4352;5;Student;s3;0;1
29;non_indented;6;4;5;9;9;1;13362;5;Student;s3;0;1
30;indented;6;0;2;8;8;1;3104;5;Student;s3;0;1
31;non_indented;8;2;5;7;7;1;11145;5;Student;s3;0;1
32;non_indented;4;0;1;7;7;1;4985;5;Student;s3;0;1
